nvda_smonth,nvda_sname,nvda_oprice,nvda_cprice,nvda_svol,unem_rate
2003-11-01,NVDA,0.15,0.18,17760924000,5.8
2003-12-01,NVDA,0.18,0.19,12347688000,5.7
2004-01-01,NVDA,0.2,0.19,12401580000,5.7
2004-02-01,NVDA,0.19,0.19,11862804000,5.6
2004-03-01,NVDA,0.18,0.22,13192248000,5.8
2004-04-01,NVDA,0.22,0.17,12362592000,5.6
2004-05-01,NVDA,0.17,0.2,10290336000,5.6
2004-06-01,NVDA,0.19,0.17,9524892000,5.6
2004-07-01,NVDA,0.17,0.13,11743992000,5.5
2004-08-01,NVDA,0.13,0.1,22610472000,5.4
2004-09-01,NVDA,0.1,0.12,15624108000,5.4
2004-10-01,NVDA,0.12,0.12,16351632000,5.5
2004-11-01,NVDA,0.12,0.16,18380604000,5.4
2004-12-01,NVDA,0.16,0.2,17652936000,5.4
2005-01-01,NVDA,0.2,0.19,13718760000,5.3
2005-02-01,NVDA,0.19,0.24,17263920000,5.4
2005-03-01,NVDA,0.24,0.2,15128592000,5.2
2005-04-01,NVDA,0.2,0.18,9788556000,5.2
2005-05-01,NVDA,0.18,0.23,14199696000,5.1
2005-06-01,NVDA,0.22,0.22,16206264000,5
2005-07-01,NVDA,0.22,0.23,13622904000,5
2005-08-01,NVDA,0.23,0.26,14333544000,4.9
2005-09-01,NVDA,0.25,0.29,11099136000,5
2005-10-01,NVDA,0.29,0.28,9381960000,5
2005-11-01,NVDA,0.28,0.3,13110036000,5
2005-12-01,NVDA,0.3,0.3,7663404000,4.9
2006-01-01,NVDA,0.31,0.37,9519288000,4.7
2006-02-01,NVDA,0.37,0.39,11871252000,4.8
2006-03-01,NVDA,0.39,0.48,15777384000,4.7
2006-04-01,NVDA,0.48,0.49,13351836000,4.7
2006-05-01,NVDA,0.49,0.38,14381178000,4.6
2006-06-01,NVDA,0.39,0.35,12274956000,4.6
2006-07-01,NVDA,0.36,0.37,12104742000,4.7
2006-08-01,NVDA,0.36,0.49,16247604000,4.7
2006-09-01,NVDA,0.48,0.49,11497302000,4.5
2006-10-01,NVDA,0.49,0.58,13568772000,4.4
2006-11-01,NVDA,0.57,0.62,13455474000,4.5
2006-12-01,NVDA,0.61,0.62,10008768000,4.4
2007-01-01,NVDA,0.62,0.51,17067402000,4.6
2007-02-01,NVDA,0.51,0.52,13470912000,4.5
2007-03-01,NVDA,0.51,0.48,14723250000,4.4
2007-04-01,NVDA,0.48,0.55,13520172000,4.5
2007-05-01,NVDA,0.56,0.58,12620946000,4.4
2007-06-01,NVDA,0.58,0.69,14460498000,4.6
2007-07-01,NVDA,0.7,0.76,10421874000,4.7
2007-08-01,NVDA,0.75,0.85,15690222000,4.6
2007-09-01,NVDA,0.86,0.91,9779846000,4.7
2007-10-01,NVDA,0.91,0.88,10668964000,4.7
2007-11-01,NVDA,0.87,0.79,12056668000,4.7
2007-12-01,NVDA,0.8,0.85,7581432000,5
2008-01-01,NVDA,0.85,0.61,15496232000,5
2008-02-01,NVDA,0.61,0.53,13630144000,4.9
2008-03-01,NVDA,0.53,0.49,15935928000,5.1
2008-04-01,NVDA,0.51,0.51,16624308000,5
2008-05-01,NVDA,0.52,0.62,20393652000,5.4
2008-06-01,NVDA,0.62,0.47,17163856000,5.6
2008-07-01,NVDA,0.46,0.29,22761908000,5.8
2008-08-01,NVDA,0.28,0.32,18645488000,6.1
2008-09-01,NVDA,0.32,0.27,19722456000,6.1
2008-10-01,NVDA,0.26,0.22,20444772000,6.5
2008-11-01,NVDA,0.22,0.19,12201968000,6.8
2008-12-01,NVDA,0.18,0.2,11678692000,7.3
2009-01-01,NVDA,0.2,0.2,15267320000,7.8
2009-02-01,NVDA,0.2,0.21,16303064000,8.3
2009-03-01,NVDA,0.2,0.25,22188612000,8.7
2009-04-01,NVDA,0.24,0.29,17628704000,9
2009-05-01,NVDA,0.29,0.26,21404532000,9.4
2009-06-01,NVDA,0.26,0.28,14679120000,9.5
2009-07-01,NVDA,0.28,0.32,15994748000,9.5
2009-08-01,NVDA,0.33,0.36,13226924000,9.6
2009-09-01,NVDA,0.36,0.38,12076336000,9.8
2009-10-01,NVDA,0.37,0.3,15518708000,10
2009-11-01,NVDA,0.3,0.33,12858216000,9.9
2009-12-01,NVDA,0.33,0.47,16371668000,9.9
2010-01-01,NVDA,0.46,0.38,12898492000,9.8
2010-02-01,NVDA,0.39,0.41,12861324000,9.8
2010-03-01,NVDA,0.41,0.44,11747816000,9.9
2010-04-01,NVDA,0.44,0.39,17109980000,9.9
2010-05-01,NVDA,0.39,0.33,20772720000,9.6
2010-06-01,NVDA,0.32,0.26,13692592000,9.4
2010-07-01,NVDA,0.26,0.23,19236568000,9.4
2010-08-01,NVDA,0.23,0.23,19412856000,9.5
2010-09-01,NVDA,0.24,0.29,17533164000,9.5
2010-10-01,NVDA,0.3,0.3,15803184000,9.4
2010-11-01,NVDA,0.3,0.34,14539300000,9.8
2010-12-01,NVDA,0.35,0.38,11204136000,9.3
2011-01-01,NVDA,0.39,0.6,32736884000,9.1
2011-02-01,NVDA,0.6,0.57,24025764000,9
2011-03-01,NVDA,0.57,0.46,27597580000,9
2011-04-01,NVDA,0.47,0.5,15322072000,9.1
2011-05-01,NVDA,0.51,0.5,17162516000,9
2011-06-01,NVDA,0.5,0.4,15953784000,9.1
2011-07-01,NVDA,0.4,0.35,14551656000,9
2011-08-01,NVDA,0.35,0.33,22571904000,9
2011-09-01,NVDA,0.34,0.31,20084740000,9
2011-10-01,NVDA,0.31,0.37,14851364000,8.8
2011-11-01,NVDA,0.36,0.39,16166032000,8.6
2011-12-01,NVDA,0.39,0.35,9742340000,8.5
2012-01-01,NVDA,0.36,0.37,11596668000,8.3
2012-02-01,NVDA,0.37,0.38,13078296000,8.3
2012-03-01,NVDA,0.38,0.38,10325244000,8.2
2012-04-01,NVDA,0.38,0.32,9550924000,8.2
2012-05-01,NVDA,0.32,0.31,11370012000,8.2
2012-06-01,NVDA,0.3,0.35,11529368000,8.2
2012-07-01,NVDA,0.35,0.34,8499872000,8.2
2012-08-01,NVDA,0.34,0.35,9917124000,8.1
2012-09-01,NVDA,0.34,0.33,8749448000,7.8
2012-10-01,NVDA,0.34,0.3,8135772000,7.8
2012-11-01,NVDA,0.3,0.3,9985612000,7.7
2012-12-01,NVDA,0.3,0.31,8037340000,7.9
2013-01-01,NVDA,0.31,0.31,9181612000,8
2013-02-01,NVDA,0.31,0.32,9901680000,7.7
2013-03-01,NVDA,0.31,0.32,6613708000,7.5
2013-04-01,NVDA,0.32,0.34,9386076000,7.6
2013-05-01,NVDA,0.34,0.36,8291540000,7.5
2013-06-01,NVDA,0.36,0.35,9295708000,7.5
2013-07-01,NVDA,0.35,0.36,5229992000,7.3
2013-08-01,NVDA,0.36,0.37,7857064000,7.2
2013-09-01,NVDA,0.37,0.39,4819932000,7.2
2013-10-01,NVDA,0.39,0.38,5772612000,7.2
2013-11-01,NVDA,0.38,0.39,6629476000,6.9
2013-12-01,NVDA,0.39,0.4,6167976000,6.7
2014-01-01,NVDA,0.4,0.39,5421052000,6.6
2014-02-01,NVDA,0.4,0.46,7722568000,6.7
2014-03-01,NVDA,0.45,0.45,7217988000,6.7
2014-04-01,NVDA,0.46,0.46,6937008000,6.2
2014-05-01,NVDA,0.47,0.47,5612600000,6.3
2014-06-01,NVDA,0.48,0.46,5277132000,6.1
2014-07-01,NVDA,0.46,0.44,6269036000,6.2
2014-08-01,NVDA,0.44,0.49,6079852000,6.1
2014-09-01,NVDA,0.49,0.46,5512388000,5.9
2014-10-01,NVDA,0.46,0.49,6607212000,5.7
2014-11-01,NVDA,0.5,0.52,4643096000,5.8
2014-12-01,NVDA,0.52,0.5,4257004000,5.6
2015-01-01,NVDA,0.5,0.48,4140352000,5.7
2015-02-01,NVDA,0.48,0.55,4193540000,5.5
2015-03-01,NVDA,0.55,0.52,7310444000,5.4
2015-04-01,NVDA,0.53,0.56,5673652000,5.4
2015-05-01,NVDA,0.56,0.55,7081336000,5.6
2015-06-01,NVDA,0.56,0.5,7333832000,5.3
2015-07-01,NVDA,0.52,0.5,5480404000,5.2
2015-08-01,NVDA,0.5,0.56,9469492000,5.1
2015-09-01,NVDA,0.55,0.62,6480208000,5
2015-10-01,NVDA,0.62,0.71,8052316000,5
2015-11-01,NVDA,0.71,0.79,7344816000,5.1
2015-12-01,NVDA,0.8,0.82,5627172000,5
2016-01-01,NVDA,0.81,0.73,8138980000,4.8
2016-02-01,NVDA,0.73,0.78,9000048000,4.9
2016-03-01,NVDA,0.79,0.89,6577904000,5
2016-04-01,NVDA,0.89,0.89,6734252000,5.1
2016-05-01,NVDA,0.9,1.17,10367836000,4.8
2016-06-01,NVDA,1.16,1.18,8197900000,4.9
2016-07-01,NVDA,1.17,1.43,7210052000,4.8
2016-08-01,NVDA,1.43,1.53,9305120000,4.9
2016-09-01,NVDA,1.53,1.71,8665252000,5
2016-10-01,NVDA,1.71,1.78,6551568000,4.9
2016-11-01,NVDA,1.79,2.31,12767464000,4.7
2016-12-01,NVDA,2.3,2.67,18082228000,4.7
2017-01-01,NVDA,2.61,2.73,13396840000,4.7
2017-02-01,NVDA,2.76,2.54,14206788000,4.6
2017-03-01,NVDA,2.59,2.72,14288960000,4.4
2017-04-01,NVDA,2.72,2.61,9572572000,4.4
2017-05-01,NVDA,2.62,3.61,19209444000,4.4
2017-06-01,NVDA,3.62,3.61,23445520000,4.3
2017-07-01,NVDA,3.63,4.06,15491016000,4.3
2017-08-01,NVDA,4.05,4.24,14728216000,4.4
2017-09-01,NVDA,4.25,4.47,14447336000,4.3
2017-10-01,NVDA,4.52,5.17,11422664000,4.2
2017-11-01,NVDA,5.23,5.02,11830896000,4.2
2017-12-01,NVDA,4.98,4.84,10112216000,4.1
2018-01-01,NVDA,4.89,6.14,11456216000,4
2018-02-01,NVDA,5.96,6.05,14915528000,4.1
2018-03-01,NVDA,6.05,5.79,14118440000,4
2018-04-01,NVDA,5.72,5.62,11144008000,4
2018-05-01,NVDA,5.61,6.3,11978240000,3.8
2018-06-01,NVDA,6.35,5.92,8785540000,4
2018-07-01,NVDA,5.85,6.12,6321876000,3.8
2018-08-01,NVDA,6.15,7.02,10917836000,3.8
2018-09-01,NVDA,7,7.03,6340200000,3.7
2018-10-01,NVDA,7.1,5.27,12977976000,3.8
2018-11-01,NVDA,5.31,4.09,16162340000,3.8
2018-12-01,NVDA,4.32,3.34,12451408000,3.9
2019-01-01,NVDA,3.27,3.59,16870992000,4
2019-02-01,NVDA,3.61,3.86,11445728000,3.8
2019-03-01,NVDA,3.91,4.49,12068540000,3.8
2019-04-01,NVDA,4.58,4.53,9437780000,3.7
2019-05-01,NVDA,4.58,3.39,11180752000,3.6
2019-06-01,NVDA,3.4,4.11,8233340000,3.6
2019-07-01,NVDA,4.31,4.22,8415984000,3.7
2019-08-01,NVDA,4.23,4.19,9450328000,3.6
2019-09-01,NVDA,4.11,4.35,6347768000,3.5
2019-10-01,NVDA,4.38,5.03,7696172000,3.6
2019-11-01,NVDA,4.99,5.42,7321800000,3.6
2019-12-01,NVDA,5.41,5.88,6543532000,3.6
2020-01-01,NVDA,5.97,5.91,6125412000,3.6
2020-02-01,NVDA,5.89,6.75,11848652000,3.5
2020-03-01,NVDA,6.92,6.59,15773952000,4.4
2020-04-01,NVDA,6.39,7.31,11278304000,14.8
2020-05-01,NVDA,7.11,8.88,12548876000,13.2
2020-06-01,NVDA,8.83,9.5,9719464000,11
2020-07-01,NVDA,9.52,10.61,8094452000,10.2
2020-08-01,NVDA,10.73,13.37,9672544000,8.4
2020-09-01,NVDA,13.48,13.53,15856552000,7.8
2020-10-01,NVDA,13.76,12.53,8022356000,6.9
2020-11-01,NVDA,12.66,13.4,7594820000,6.7
2020-12-01,NVDA,13.49,13.06,5120996000,6.7
2021-01-01,NVDA,13.1,12.99,6154172000,6.4
2021-02-01,NVDA,13.05,13.71,6680324000,6.2
2021-03-01,NVDA,13.88,13.35,7648656000,6.1
2021-04-01,NVDA,13.57,15.01,6718796000,6.1
2021-05-01,NVDA,15.13,16.24,7054380000,5.8
2021-06-01,NVDA,16.27,20,10273292000,5.9
2021-07-01,NVDA,20.13,19.5,7823077000,5.4
2021-08-01,NVDA,19.7,22.39,6416386000,5.1
2021-09-01,NVDA,22.49,20.72,4998986000,4.7
2021-10-01,NVDA,20.75,25.57,4971078000,4.5
2021-11-01,NVDA,25.65,32.68,10811170000,4.1
2021-12-01,NVDA,33.22,29.41,11058505000,3.9
2022-01-01,NVDA,29.82,24.49,10682164000,4
2022-02-01,NVDA,25.1,24.39,10644270000,3.9
2022-03-01,NVDA,24.29,27.29,11644599000,3.7
2022-04-01,NVDA,27.38,18.55,11114390000,3.7
2022-05-01,NVDA,18.54,18.67,13833021000,3.6
2022-06-01,NVDA,18.72,15.16,10554791000,3.6
2022-07-01,NVDA,14.9,18.16,10564476000,3.5
2022-08-01,NVDA,18.18,15.09,12069648000,3.6
2022-09-01,NVDA,14.21,12.14,13130578000,3.5
2022-10-01,NVDA,12.35,13.5,12549277000,3.6
2022-11-01,NVDA,13.81,16.92,10600603000,3.6
2022-12-01,NVDA,17,14.61,8946152000,3.5
2023-01-01,NVDA,14.85,19.54,9454960000,3.5
2023-02-01,NVDA,19.69,23.22,10393479000,3.6
2023-03-01,NVDA,23.19,27.78,11263731000,3.5
2023-04-01,NVDA,27.51,27.75,7436450000,3.4
2023-05-01,NVDA,27.84,37.83,11697819000,3.6
2023-06-01,NVDA,38.49,42.3,10527050000,3.6
2023-07-01,NVDA,42.52,46.73,8706845000,3.5
2023-08-01,NVDA,46.46,49.35,13632152000,3.7
2023-09-01,NVDA,49.76,43.5,8579273000,3.7
2023-10-01,NVDA,44.03,40.78,10141101000,3.9
2023-11-01,NVDA,40.88,46.77,9144618000,3.7
2023-12-01,NVDA,46.53,49.52,7411887000,3.8
2024-01-01,NVDA,49.24,61.53,9706237000,3.7
2024-02-01,NVDA,62.1,79.11,11061356000,3.9
2024-03-01,NVDA,80,90.36,12149218000,3.9
2024-04-01,NVDA,90.3,86.4,10072334000,3.9
2024-05-01,NVDA,85.08,109.63,9645174000,3.9
2024-06-01,NVDA,113.62,123.54,7424176700,4.1
2024-07-01,NVDA,123.47,117.02,6405438600,4.2
2024-08-01,NVDA,117.53,119.37,8105367800,4.2
2024-09-01,NVDA,116.01,121.44,6271163200,4.1
2024-10-01,NVDA,121.77,132.76,5627917200,4.1
2024-11-01,NVDA,134.7,138.25,4497414600,4.2
2024-12-01,NVDA,138.83,134.29,4085855200,4.1
2025-01-01,NVDA,136,120.07,5948400800,4
2025-02-01,NVDA,114.75,124.92,4755230400,4.2
2025-03-01,NVDA,123.51,108.38,6177950300,4.2
2025-04-01,NVDA,108.52,108.92,6811006400,4.2
2025-05-01,NVDA,113.08,135.13,4756803800,4.3
2025-06-01,NVDA,135.49,157.99,3821296800,4.1
2025-07-01,NVDA,156.29,177.87,3596804400,4.3
2025-08-01,NVDA,174.09,174.18,3608891200,4.3
2025-09-01,NVDA,170,186.58,3890495300,4.4
2025-11-01,NVDA,208.08,177,4160148300,4.5
2025-12-01,NVDA,174.76,186.5,3629693700,4.4
