googl_smonth,googl_sname,googl_oprice,googl_cprice,googl_svol,unem_rate
2009-04-01,GOOGL,8.60,9.91,3509802684,9.0
2009-05-01,GOOGL,9.89,10.44,2279130588,9.4
2009-06-01,GOOGL,10.48,10.55,2815621560,9.5
2009-07-01,GOOGL,10.62,11.09,2917767312,9.5
2009-08-01,GOOGL,11.23,11.55,1947594456,9.6
2009-09-01,GOOGL,11.50,12.41,2041140816,9.8
2009-10-01,GOOGL,12.34,13.42,3083893020,10.0
2009-11-01,GOOGL,13.44,14.59,1634611752,9.9
2009-12-01,GOOGL,14.72,15.52,1703107188,9.9
2010-01-01,GOOGL,15.69,13.26,3560455980,9.8
2010-02-01,GOOGL,13.38,13.18,2079290628,9.8
2010-03-01,GOOGL,13.24,14.19,3347637012,9.9
2010-04-01,GOOGL,14.30,13.16,2919517560,9.9
2010-05-01,GOOGL,13.18,12.15,3259185552,9.6
2010-06-01,GOOGL,12.02,11.13,2392133472,9.4
2010-07-01,GOOGL,11.14,12.13,2769627600,9.4
2010-08-01,GOOGL,12.24,11.26,2112093792,9.5
2010-09-01,GOOGL,11.39,13.16,2385651960,9.5
2010-10-01,GOOGL,13.26,15.36,3170742084,9.4
2010-11-01,GOOGL,15.41,13.91,2335338324,9.8
2010-12-01,GOOGL,14.09,14.86,1689716592,9.3
2011-01-01,GOOGL,14.93,15.02,2396976624,9.1
2011-02-01,GOOGL,15.13,15.35,1673085240,9.0
2011-03-01,GOOGL,15.46,14.68,2403154440,9.0
2011-04-01,GOOGL,14.73,13.62,2806858332,9.1
2011-05-01,GOOGL,13.66,13.24,1811302884,9.0
2011-06-01,GOOGL,13.21,12.67,2362638996,9.1
2011-07-01,GOOGL,12.68,15.11,3238977780,9.0
2011-08-01,GOOGL,15.30,13.54,4266752976,9.0
2011-09-01,GOOGL,13.53,12.89,2342842812,9.0
2011-10-01,GOOGL,12.76,14.83,3085531380,8.8
2011-11-01,GOOGL,14.52,15.00,2409607980,8.6
2011-12-01,GOOGL,15.02,16.16,2199698100,8.5
2012-01-01,GOOGL,16.34,14.52,2942758296,8.3
2012-02-01,GOOGL,14.64,15.47,1892689416,8.3
2012-03-01,GOOGL,15.57,16.05,1891314792,8.2
2012-04-01,GOOGL,16.04,15.14,2352752892,8.2
2012-05-01,GOOGL,15.11,14.54,2344585068,8.2
2012-06-01,GOOGL,14.31,14.52,1858311828,8.2
2012-07-01,GOOGL,14.56,15.84,2049412536,8.2
2012-08-01,GOOGL,15.95,17.14,1880649468,8.1
2012-09-01,GOOGL,17.13,18.88,2404696896,7.8
2012-10-01,GOOGL,19.00,17.02,2869080048,7.8
2012-11-01,GOOGL,17.00,17.48,1865300832,7.7
2012-12-01,GOOGL,17.57,17.70,1666152180,7.9
2013-01-01,GOOGL,18.00,18.91,2094111792,8.0
2013-02-01,GOOGL,18.97,20.05,1851762384,7.7
2013-03-01,GOOGL,19.96,19.87,1700254044,7.5
2013-04-01,GOOGL,19.90,20.63,2139945912,7.6
2013-05-01,GOOGL,20.60,21.80,1974715308,7.5
2013-06-01,GOOGL,21.85,22.03,1941280776,7.5
2013-07-01,GOOGL,22.18,22.22,2047770180,7.3
2013-08-01,GOOGL,22.40,21.19,1338144516,7.2
2013-09-01,GOOGL,21.38,21.92,1323615060,7.2
2013-10-01,GOOGL,22.03,25.79,2206771020,7.2
2013-11-01,GOOGL,25.82,26.52,1049213736,6.9
2013-12-01,GOOGL,26.61,28.05,1352374272,6.7
2014-01-01,GOOGL,27.91,29.55,2178287532,6.6
2014-02-01,GOOGL,29.51,30.42,1620230148,6.7
2014-03-01,GOOGL,30.20,27.89,1744505748,6.7
2014-04-01,GOOGL,28.03,26.74,1421285316,6.2
2014-05-01,GOOGL,26.71,28.58,829136000,6.3
2014-06-01,GOOGL,28.49,29.23,789784000,6.1
2014-07-01,GOOGL,29.38,28.98,771666000,6.2
2014-08-01,GOOGL,28.93,29.12,581574000,6.1
2014-09-01,GOOGL,29.15,29.42,708502000,5.9
2014-10-01,GOOGL,29.34,28.39,1109632000,5.7
2014-11-01,GOOGL,28.18,27.45,595410000,5.8
2014-12-01,GOOGL,27.25,26.53,1088686000,5.6
2015-01-01,GOOGL,26.63,26.88,1056926000,5.7
2015-02-01,GOOGL,26.72,28.13,808386000,5.5
2015-03-01,GOOGL,28.35,27.74,864144000,5.4
2015-04-01,GOOGL,27.74,27.44,874900000,5.4
2015-05-01,GOOGL,27.53,27.27,648434000,5.6
2015-06-01,GOOGL,27.44,27.00,704328000,5.3
2015-07-01,GOOGL,27.18,32.88,1370858000,5.2
2015-08-01,GOOGL,32.88,32.39,1106942000,5.1
2015-09-01,GOOGL,31.69,31.92,871504000,5.0
2015-10-01,GOOGL,31.90,36.87,1005286000,5.0
2015-11-01,GOOGL,36.73,38.14,751482000,5.1
2015-12-01,GOOGL,38.35,38.90,872694000,5.0
2016-01-01,GOOGL,38.11,38.07,1039984000,4.8
2016-02-01,GOOGL,38.56,35.86,1352946000,4.9
2016-03-01,GOOGL,36.06,38.15,853314000,5.0
2016-04-01,GOOGL,37.86,35.39,933228000,5.1
2016-05-01,GOOGL,35.60,37.44,682046000,4.8
2016-06-01,GOOGL,37.42,35.18,839330000,4.9
2016-07-01,GOOGL,35.26,39.57,653244000,4.8
2016-08-01,GOOGL,39.33,39.49,577080000,4.9
2016-09-01,GOOGL,39.60,40.20,630896000,5.0
2016-10-01,GOOGL,40.13,40.49,707820000,4.9
2016-11-01,GOOGL,40.54,38.79,967068000,4.7
2016-12-01,GOOGL,38.93,39.62,687126000,4.7
2017-01-01,GOOGL,40.03,41.01,736654000,4.7
2017-02-01,GOOGL,41.20,42.25,529816000,4.6
2017-03-01,GOOGL,42.57,42.39,691002000,4.4
2017-04-01,GOOGL,42.44,46.23,574432000,4.4
2017-05-01,GOOGL,46.21,49.35,707186000,4.4
2017-06-01,GOOGL,49.55,46.48,881706000,4.3
2017-07-01,GOOGL,46.66,47.28,838172000,4.3
2017-08-01,GOOGL,47.39,47.76,656924000,4.4
2017-09-01,GOOGL,47.87,48.69,592524000,4.3
2017-10-01,GOOGL,48.78,51.65,737076000,4.2
2017-11-01,GOOGL,51.82,51.81,573720000,4.2
2017-12-01,GOOGL,51.52,52.67,598810000,4.1
2018-01-01,GOOGL,52.65,59.11,657748000,4.0
2018-02-01,GOOGL,58.80,55.20,1026814000,4.1
2018-03-01,GOOGL,55.48,51.86,1042336000,4.0
2018-04-01,GOOGL,51.38,50.93,984928000,4.0
2018-05-01,GOOGL,50.81,55.00,740734000,3.8
2018-06-01,GOOGL,55.64,56.46,803684000,4.0
2018-07-01,GOOGL,55.77,61.36,835654000,3.8
2018-08-01,GOOGL,61.96,61.59,685718000,3.8
2018-09-01,GOOGL,61.13,60.35,718518000,3.7
2018-10-01,GOOGL,60.65,54.53,1130942000,3.8
2018-11-01,GOOGL,54.57,55.48,786236000,3.8
2018-12-01,GOOGL,56.61,52.25,857436000,3.9
2019-01-01,GOOGL,51.36,56.29,697168000,4.0
2019-02-01,GOOGL,56.11,56.33,652174000,3.8
2019-03-01,GOOGL,56.55,58.84,663738000,3.8
2019-04-01,GOOGL,59.38,59.95,647446000,3.7
2019-05-01,GOOGL,59.88,55.33,742726000,3.6
2019-06-01,GOOGL,53.35,54.14,712452000,3.6
2019-07-01,GOOGL,55.05,60.91,715104000,3.7
2019-08-01,GOOGL,60.88,59.53,586310000,3.6
2019-09-01,GOOGL,59.09,61.06,517072000,3.5
2019-10-01,GOOGL,61.12,62.94,603634000,3.6
2019-11-01,GOOGL,63.29,65.20,528780000,3.6
2019-12-01,GOOGL,65.13,66.97,559106000,3.6
2020-01-01,GOOGL,67.42,71.64,673594000,3.6
2020-02-01,GOOGL,73.08,66.96,830656000,3.5
2020-03-01,GOOGL,67.57,58.10,1570716000,4.4
2020-04-01,GOOGL,56.20,67.33,1124224000,14.8
2020-05-01,GOOGL,66.20,71.68,725130000,13.2
2020-06-01,GOOGL,71.29,70.90,814160000,11.0
2020-07-01,GOOGL,70.96,74.40,822998000,10.2
2020-08-01,GOOGL,74.55,81.48,614564000,8.4
2020-09-01,GOOGL,81.61,73.28,836634000,7.8
2020-10-01,GOOGL,74.18,80.81,854920000,6.9
2020-11-01,GOOGL,81.18,87.72,631912000,6.7
2020-12-01,GOOGL,88.33,87.63,608630000,6.7
2021-01-01,GOOGL,88.00,91.37,791662000,6.4
2021-02-01,GOOGL,92.23,101.10,678324000,6.2
2021-03-01,GOOGL,102.40,103.13,756694000,6.1
2021-04-01,GOOGL,104.61,117.68,702352000,6.1
2021-05-01,GOOGL,118.25,117.84,603480000,5.8
2021-06-01,GOOGL,118.72,122.09,544936000,5.9
2021-07-01,GOOGL,121.72,134.73,610808000,5.4
2021-08-01,GOOGL,135.12,144.70,461586000,5.1
2021-09-01,GOOGL,145.00,133.68,590840000,4.7
2021-10-01,GOOGL,134.45,148.05,720758000,4.5
2021-11-01,GOOGL,148.05,141.90,608378000,4.1
2021-12-01,GOOGL,144.00,144.85,619694000,3.9
2022-01-01,GOOGL,145.05,135.30,767206000,4.0
2022-02-01,GOOGL,137.59,135.06,928126000,3.9
2022-03-01,GOOGL,134.88,139.07,729162000,3.7
2022-04-01,GOOGL,139.50,114.11,761152000,3.7
2022-05-01,GOOGL,113.40,113.76,850450000,3.6
2022-06-01,GOOGL,114.86,108.96,770754000,3.6
2022-07-01,GOOGL,107.93,116.32,789529700,3.5
2022-08-01,GOOGL,115.30,108.22,515852700,3.6
2022-09-01,GOOGL,108.28,95.65,613278900,3.5
2022-10-01,GOOGL,96.76,94.51,681488300,3.6
2022-11-01,GOOGL,95.45,100.99,716522700,3.6
2022-12-01,GOOGL,101.02,88.23,603127800,3.5
2023-01-01,GOOGL,89.59,98.84,672897800,3.5
2023-02-01,GOOGL,98.71,90.06,952580200,3.6
2023-03-01,GOOGL,89.98,103.73,859933900,3.5
2023-04-01,GOOGL,102.39,107.34,604106300,3.4
2023-05-01,GOOGL,106.84,122.87,820611200,3.6
2023-06-01,GOOGL,122.82,119.70,656851900,3.6
2023-07-01,GOOGL,119.24,132.72,708341900,3.5
2023-08-01,GOOGL,130.78,136.17,593329000,3.7
2023-09-01,GOOGL,137.46,130.86,477599300,3.7
2023-10-01,GOOGL,131.21,124.08,680747700,3.9
2023-11-01,GOOGL,124.07,132.53,535233300,3.7
2023-12-01,GOOGL,131.86,139.69,619995600,3.8
2024-01-01,GOOGL,138.55,140.10,581871000,3.7
2024-02-01,GOOGL,142.12,138.46,647623800,3.9
2024-03-01,GOOGL,138.43,150.93,672715700,3.9
2024-04-01,GOOGL,150.69,162.78,659848400,3.9
2024-05-01,GOOGL,164.30,172.50,542386500,3.9
2024-06-01,GOOGL,172.54,182.15,460108700,4.1
2024-07-01,GOOGL,183.03,171.54,526128300,4.2
2024-08-01,GOOGL,170.25,163.38,550739500,4.2
2024-09-01,GOOGL,161.72,165.85,532543100,4.1
2024-10-01,GOOGL,167.69,171.11,569309100,4.1
2024-11-01,GOOGL,170.07,168.95,529919300,4.2
2024-12-01,GOOGL,168.77,189.30,645610200,4.1
2025-01-01,GOOGL,190.65,204.02,500334600,4.0
2025-02-01,GOOGL,200.69,170.28,629376900,4.2
2025-03-01,GOOGL,171.93,154.64,732152300,4.2
2025-04-01,GOOGL,153.62,158.80,842648300,4.2
2025-05-01,GOOGL,160.45,171.74,942494200,4.3
2025-06-01,GOOGL,167.84,176.23,847382400,4.1
2025-07-01,GOOGL,175.74,191.90,860114400,4.3
2025-08-01,GOOGL,189.03,212.91,617570900,4.3
2025-09-01,GOOGL,208.44,243.10,829465500,4.4
2025-11-01,GOOGL,282.18,320.18,855278300,4.5
2025-12-01,GOOGL,317.70,313.00,678208700,4.4
